student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,Exam_Score,Study_Efficiency,Performance
S054,11.3,6.3,63.0,87,46.4,1.7936507936507937,Good
S055,8.1,9.0,62.4,70,34.4,0.8999999999999999,Needs Improvement
S056,7.7,9.0,81.9,57,37.0,0.8555555555555556,Good
S057,2.9,4.4,88.3,86,35.2,0.6590909090909091,Good
S058,9.0,5.1,76.1,77,38.2,1.7647058823529413,Good
S059,2.8,5.3,81.3,88,33.0,0.5283018867924528,Needs Improvement
S060,5.2,8.7,63.7,73,29.2,0.5977011494252874,Needs Improvement
S061,11.9,8.4,53.9,78,48.6,1.4166666666666667,Good
S062,8.0,8.4,64.3,58,36.1,0.9523809523809523,Good
S063,7.1,5.8,63.6,46,27.1,1.2241379310344827,Needs Improvement
S064,8.5,4.8,66.0,93,36.1,1.7708333333333335,Good
S065,10.3,8.2,77.0,52,39.5,1.25609756097561,Good
S066,9.5,7.5,56.9,58,36.7,1.2666666666666666,Good
S067,3.5,7.1,61.6,54,21.7,0.49295774647887325,Needs Improvement
S068,1.4,8.9,84.7,63,32.2,0.15730337078651685,Needs Improvement
S069,4.5,7.3,85.3,51,33.5,0.6164383561643836,Needs Improvement
S070,3.9,4.0,53.2,59,23.9,0.975,Needs Improvement
S071,3.3,8.1,70.4,40,20.8,0.4074074074074074,Needs Improvement
S072,11.4,5.5,77.1,85,47.9,2.0727272727272728,Good
S073,10.6,7.3,70.8,74,41.9,1.452054794520548,Good
S074,4.5,8.7,60.3,48,29.5,0.5172413793103449,Needs Improvement
S075,8.2,4.7,71.0,57,33.5,1.7446808510638296,Needs Improvement
S076,5.4,4.6,95.2,42,26.3,1.173913043478261,Needs Improvement
S077,11.1,4.5,79.2,43,39.9,2.466666666666667,Good
S078,6.0,6.8,84.8,75,40.3,0.8823529411764706,Good
S079,3.9,5.4,92.8,58,26.5,0.7222222222222222,Needs Improvement
S080,3.7,7.0,88.3,84,34.2,0.5285714285714286,Needs Improvement
S081,7.2,7.6,69.0,48,30.8,0.9473684210526316,Needs Improvement
S082,3.9,5.0,50.3,80,32.4,0.78,Needs Improvement
S083,7.4,7.2,67.6,95,39.8,1.027777777777778,Good
S084,10.9,5.3,87.7,88,48.9,2.056603773584906,Good
S085,5.4,6.4,92.7,71,38.0,0.84375,Good
S086,3.4,8.5,97.7,46,26.5,0.39999999999999997,Needs Improvement
S087,12.0,8.2,71.0,95,51.3,1.4634146341463417,Good
S088,6.6,4.5,87.4,40,28.6,1.4666666666666666,Needs Improvement
S089,2.0,6.1,77.3,76,32.1,0.3278688524590164,Needs Improvement
S090,1.5,5.4,80.2,58,23.9,0.27777777777777773,Needs Improvement
S091,2.2,4.0,61.0,70,27.3,0.55,Needs Improvement
S092,7.9,7.9,61.0,70,34.0,1.0,Needs Improvement
S093,9.7,7.2,71.8,68,37.5,1.347222222222222,Good
S094,5.6,5.3,51.5,61,29.1,1.0566037735849056,Needs Improvement
S095,1.7,7.7,66.8,51,28.1,0.22077922077922077,Needs Improvement
S096,5.2,6.8,84.0,43,28.7,0.7647058823529412,Needs Improvement
S097,12.0,6.1,70.2,56,36.9,1.9672131147540985,Good
S098,6.8,4.0,58.3,95,36.0,1.7,Good
S099,11.7,4.4,73.4,70,39.9,2.6590909090909087,Good
S100,10.5,8.4,56.4,47,37.1,1.25,Good
S101,1.1,8.5,81.1,92,31.4,0.12941176470588237,Needs Improvement
S102,8.9,6.7,51.3,44,31.3,1.328358208955224,Needs Improvement
S103,8.5,8.2,69.7,65,35.7,1.0365853658536586,Good
S104,6.9,6.9,78.2,71,32.6,1.0,Needs Improvement
S105,3.9,4.7,51.4,44,24.1,0.8297872340425532,Needs Improvement
S106,8.1,4.6,82.1,76,38.2,1.7608695652173914,Good
S107,2.2,5.5,56.8,80,23.7,0.4,Needs Improvement
S108,5.8,8.5,73.1,83,39.2,0.6823529411764706,Good
S109,6.0,8.0,52.5,43,23.2,0.75,Needs Improvement
S110,11.5,8.3,69.0,49,42.2,1.3855421686746987,Good
S111,10.6,8.5,60.6,49,39.6,1.2470588235294118,Good
S112,3.9,5.1,66.3,91,34.8,0.7647058823529412,Needs Improvement
S113,6.5,5.2,88.1,76,34.6,1.25,Needs Improvement
S114,3.0,4.5,69.0,59,26.4,0.6666666666666666,Needs Improvement
S115,11.0,7.9,87.6,45,43.1,1.3924050632911391,Good
S116,10.6,8.4,91.6,55,46.4,1.2619047619047619,Good
S117,4.3,6.0,62.6,47,25.2,0.7166666666666667,Needs Improvement
S118,8.0,7.1,54.1,75,31.3,1.1267605633802817,Needs Improvement
S119,7.7,4.8,51.0,88,35.8,1.6041666666666667,Good
S120,2.7,8.6,77.0,66,29.8,0.3139534883720931,Needs Improvement
S121,9.4,8.3,100.0,78,47.9,1.1325301204819276,Good
S122,6.9,8.9,67.5,78,40.9,0.7752808988764045,Good
S123,9.6,8.1,82.5,90,44.1,1.1851851851851851,Good
S124,6.8,8.4,89.1,79,39.3,0.8095238095238094,Good
S125,1.0,4.1,82.6,54,21.2,0.24390243902439027,Needs Improvement
S126,4.6,7.7,87.7,89,38.6,0.5974025974025974,Good
S127,1.2,5.7,97.5,73,26.8,0.21052631578947367,Needs Improvement
S128,11.2,8.7,60.0,64,42.7,1.2873563218390804,Good
S129,10.7,8.0,51.0,68,36.1,1.3375,Good
S130,10.1,8.3,57.6,68,39.2,1.2168674698795179,Good
S131,4.4,8.1,56.3,59,32.9,0.54320987654321,Needs Improvement
S132,1.6,5.3,83.5,95,28.8,0.30188679245283023,Needs Improvement
S133,10.7,7.9,78.2,77,45.7,1.3544303797468353,Good
S134,11.4,4.5,60.9,67,40.8,2.533333333333333,Good
S135,1.9,8.4,85.0,59,30.6,0.22619047619047616,Needs Improvement
S136,6.3,8.3,88.3,76,41.1,0.7590361445783131,Good
S137,1.8,5.1,58.4,79,29.0,0.35294117647058826,Needs Improvement
S138,9.4,8.1,80.4,43,35.1,1.1604938271604939,Good
S139,9.4,6.3,87.4,79,39.9,1.492063492063492,Good
S140,2.4,5.5,55.7,87,29.9,0.43636363636363634,Needs Improvement
S141,6.2,8.0,91.0,46,35.0,0.775,Good
S142,7.0,5.1,98.2,88,43.3,1.3725490196078431,Good
S143,3.9,4.1,55.4,53,19.0,0.951219512195122,Needs Improvement
S144,10.6,5.0,51.3,80,35.1,2.12,Good
S145,5.7,5.6,65.6,53,29.9,1.017857142857143,Needs Improvement
S146,3.3,8.3,83.9,56,33.0,0.3975903614457831,Needs Improvement
S147,6.9,8.8,97.9,82,45.8,0.7840909090909091,Good
S148,9.0,5.4,69.8,45,35.5,1.6666666666666665,Good
S149,3.2,7.2,85.8,50,26.4,0.4444444444444445,Needs Improvement
S150,4.4,6.0,53.8,55,21.9,0.7333333333333334,Needs Improvement
S151,11.9,8.9,84.5,51,44.1,1.3370786516853932,Good
S152,8.1,6.7,81.4,75,42.3,1.208955223880597,Good
S153,5.8,8.7,55.1,44,27.7,0.6666666666666667,Needs Improvement
S154,6.7,4.6,88.6,50,33.4,1.456521739130435,Needs Improvement
S155,2.3,8.9,92.5,40,29.7,0.2584269662921348,Needs Improvement
S156,3.5,4.9,80.0,66,23.6,0.7142857142857142,Needs Improvement
S157,4.7,8.8,56.1,68,33.6,0.5340909090909091,Needs Improvement
S158,7.5,5.3,99.2,84,37.9,1.4150943396226416,Good
S159,3.5,4.5,89.1,78,29.5,0.7777777777777778,Needs Improvement
S160,3.4,6.2,67.4,70,24.7,0.5483870967741935,Needs Improvement
S161,1.8,7.6,71.4,58,25.2,0.2368421052631579,Needs Improvement
S162,7.9,5.6,68.5,42,31.4,1.4107142857142858,Needs Improvement
S163,3.5,7.0,75.3,54,30.0,0.5,Needs Improvement
S164,11.0,6.6,67.1,58,35.8,1.6666666666666667,Good
S165,10.5,5.9,92.5,85,40.6,1.7796610169491525,Good
S166,1.8,6.9,91.1,58,30.1,0.2608695652173913,Needs Improvement
S167,3.6,5.3,55.3,84,30.3,0.679245283018868,Needs Improvement
S168,8.4,7.5,98.0,95,42.0,1.12,Good
S169,3.4,4.0,81.8,69,32.1,0.85,Needs Improvement
S170,2.5,8.6,91.4,44,22.8,0.29069767441860467,Needs Improvement
S171,11.3,6.7,85.4,83,45.3,1.6865671641791045,Good
S172,7.3,7.6,71.8,54,31.0,0.9605263157894737,Needs Improvement
S173,6.2,7.7,86.7,56,31.0,0.8051948051948052,Needs Improvement
S174,9.6,7.4,98.3,90,40.9,1.2972972972972971,Good
S175,9.9,5.8,63.5,90,44.8,1.7068965517241381,Good
S176,3.1,4.3,90.4,80,34.4,0.7209302325581396,Needs Improvement
S177,2.1,7.3,76.9,77,30.7,0.28767123287671237,Needs Improvement
S178,5.7,5.7,74.2,82,31.0,1.0,Needs Improvement
S179,5.7,5.6,71.8,91,35.0,1.017857142857143,Good
S180,6.1,8.2,86.6,52,31.4,0.7439024390243902,Needs Improvement
S181,9.0,7.6,63.4,67,38.4,1.1842105263157896,Good
S182,8.4,5.5,92.6,47,36.1,1.5272727272727273,Good
S183,11.8,5.5,91.5,74,44.1,2.1454545454545455,Good
S184,2.1,6.0,54.3,54,19.4,0.35000000000000003,Needs Improvement
S185,5.4,6.0,94.1,81,39.4,0.9,Good
S186,4.7,5.5,62.2,49,22.9,0.8545454545454546,Needs Improvement
S187,10.5,4.6,73.2,57,36.2,2.2826086956521743,Good
S188,3.7,6.1,80.5,92,33.4,0.6065573770491804,Needs Improvement
S189,3.1,8.7,68.9,49,23.4,0.35632183908045983,Needs Improvement
S190,5.9,7.4,51.4,44,28.0,0.7972972972972973,Needs Improvement
S191,5.6,8.5,92.5,43,32.2,0.6588235294117647,Needs Improvement
S192,4.1,7.1,59.1,50,30.7,0.5774647887323944,Needs Improvement
S193,3.7,5.5,60.6,90,28.8,0.6727272727272727,Needs Improvement
S194,11.2,6.7,89.9,59,46.7,1.671641791044776,Good
S195,5.9,4.0,67.0,78,33.8,1.475,Needs Improvement
S196,10.5,5.4,94.0,87,42.7,1.9444444444444444,Good
S197,7.1,6.1,85.1,92,40.4,1.1639344262295082,Good
S198,1.6,6.9,63.8,76,28.2,0.2318840579710145,Needs Improvement
S199,12.0,7.3,50.5,58,42.0,1.6438356164383563,Good
S200,10.2,6.3,97.4,68,37.8,1.619047619047619,Good
